,States,year,Primary_Boys,Primary_Girls,Primary_Total,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Region
0,A & N Islands,2012-13,0.83,0.51,0.68,Uppe_r_Primary,1.09,1.23,5.57,5.55,5.56,17.66,10.15,14.14,east
3,Andhra Pradesh,2012-13,3.3,3.05,3.18,3.21,3.51,3.36,12.21,13.25,12.72,2.66,NR,0.35,south
7,Arunachal Pradesh,2012-13,15.84,14.44,15.16,5.86,9.06,7.47,13.99,11.77,12.93,7.85,2.14,5.11,ne
9,Assam,2012-13,7.02,5.46,6.24,7.89,6.55,7.2,25.65,27.79,26.77,4.87,4.5,4.69,ne
12,Bihar,2012-13,NR,NR,NR,NR,NR,NR,29.11,31.28,30.14,NR,NR,NR,east
15,Chandigarh,2012-13,NR,NR,NR,NR,0.88,0.1,NR,NR,NR,16.32,10.09,13.65,north
18,Chhattisgarh,2012-13,4.24,4.05,4.14,6.09,4.73,5.42,14.82,14.89,14.86,NR,NR,NR,central
21,D & N Haveli,2012-13,NR,0.47,NR,2.59,4.3,3.38,26.34,22,24.41,13.34,4.81,9.65,west
24,Daman & Diu,2012-13,NR,NR,NR,NR,NR,NR,10.84,12.25,11.52,6.21,NR,1.26,west
27,NCT of Delhi,2012-13,NR,NR,NR,NR,0.31,NR,6.26,4.21,5.32,18.56,9.6,14.47,north
30,Goa,2012-13,NR,0.26,NR,NR,NR,NR,9.49,6.26,7.96,16.01,5.8,11.26,west
33,Gujarat,2012-13,0.21,1.35,0.74,2.75,8.19,5.2,13.96,12.95,13.55,0.58,0.3,0.46,west
36,Haryana,2012-13,1.48,1.06,1.29,0.18,0.8,0.46,8.22,9.93,8.98,NR,NR,NR,north
39,Himachal Pradesh,2012-13,0.51,0.39,0.45,0.52,0.49,0.51,8.35,8.4,8.37,10.25,7.64,9.02,north
42,Jammu & Kashmir,2012-13,6.8,5.75,6.3,5.51,5.52,5.52,16.79,17.96,17.33,11.69,9.36,10.66,north
45,Jharkhand,2012-13,7.36,7.05,7.21,4.99,5.94,5.47,17.84,19.2,18.5,NR,NR,NR,east
48,Karnataka,2012-13,3.4,2.51,2.97,4.96,5.15,5.05,40.7,39.07,39.92,19.47,11.26,15.33,south
51,Kerala,2012-13,NR,NR,NR,NR,NR,NR,12.31,6.38,9.45,NR,NR,NR,south
54,Lakshadweep,2012-13,2.3,2.71,2.5,0.97,NR,0.29,6.15,9.17,7.68,2.98,10.65,6.59,west
57,Madhya Pradesh,2012-13,5.75,6.49,6.11,6.79,10.27,8.53,11.16,16.39,13.63,NR,NR,NR,central
60,Maharashtra,2012-13,0.88,1.06,0.97,0.89,2.72,1.74,16.61,15.72,16.2,2.55,3.94,3.2,west
63,Manipur,2012-13,10.24,9.48,9.86,5.48,6.65,6.06,8.16,11.35,9.75,5.96,10.06,7.93,ne
66,Meghalaya,2012-13,11.32,8.96,10.14,8.43,7.34,7.85,27.21,25.02,26.03,NR,NR,NR,ne
69,Mizoram,2012-13,24.27,23.93,24.11,19.35,19.21,19.28,22.18,20.65,21.42,2.91,NR,NR,ne
72,Nagaland,2012-13,7.11,7.03,7.07,10.15,9.51,9.83,26.7,26.33,26.51,18.67,17.87,18.29,ne
75,Odisha,2012-13,3.63,3.49,3.56,4.1,3.52,3.81,50.09,49.62,49.86,NR,NR,NR,east
78,Puducherry,2012-13,0.25,0.43,0.34,0.33,1.05,0.68,18.49,11.72,15.21,6.79,3.87,5.25,south
81,Punjab,2012-13,1.99,1.98,1.99,2.58,3.04,2.78,9.4,10.3,9.8,9.69,6.53,8.28,north
84,Rajasthan,2012-13,7.2,8.85,7.97,2.86,6.34,4.42,13.06,14.49,13.65,NR,NR,NR,west
87,Sikkim,2012-13,4.78,2.31,3.6,2.6,3.64,3.15,9.93,8.64,9.23,11.79,4.92,8.1,ne
90,Tamil Nadu,2012-13,4.02,4.1,4.06,0.38,2.13,1.24,14.26,5.86,10.2,1.34,2.33,1.87,south
95,Tripura,2012-13,2.31,2.11,2.22,3.1,3.07,3.08,24.09,26.99,25.5,8.4,9.49,8.87,ne
98,Uttar Pradesh,2012-13,10.53,10.03,10.28,NR,3.1,1.06,NR,NR,NR,NR,NR,NR,north
101,Uttarakhand,2012-13,1.14,1.18,1.16,NR,1,0.13,8.97,10.45,9.68,1.35,1.85,1.59,north
104,West Bengal,2012-13,6.88,5.71,6.3,6.29,4.16,5.18,14.95,19.41,17.3,7.81,8.49,8.13,east
107,All India,2012-13,4.68,4.66,4.67,2.3,4.01,3.13,14.54,14.54,14.54,NR,NR,NR,
