,Country/State/UT_Name,drop_out_rate_Upper Primary_Girls_2013-14,drop_out_rate_Primary_Girls_2012-13
0,All India,4.49,4.66
1,Andaman and N Islands,1.54,0.51
2,Andhra Pradesh,4.12,3.05
3,Arunachal Pradesh,6.74,14.44
4,Assam,6.54,5.46
5,Bihar,3.19,4.19
6,Chandigarh,1.55,3.4
7,Chhattisgarh,3.51,4.05
8,D & N Haveli,5.09,0.47
9,Daman & Diu,3.72,2.45
10,Goa,4.8,0.26
11,Gujarat,8.04,1.35
12,Haryana,3.25,1.06
13,Himachal Pradesh,0.98,0.39
14,Jammu & Kashmir,4.8,5.75
15,Jharkhand,7.65,7.05
16,Karnataka,2.73,2.51
17,Kerala,3.43,2.52
18,Lakshadweep,2.5,2.71
19,Madhya Pradesh,13.57,6.49
20,Maharashtra,1.5,1.06
21,Manipur,6.54,9.48
22,Meghalaya,7.28,8.96
23,Mizoram,5.39,23.93
24,NCT of Delhi,2.37,3.4
25,Nagaland,17.63,7.03
26,Odisha,2.48,3.49
27,Puducherry,0.83,0.43
28,Punjab,3.27,1.98
29,Rajasthan,7.95,8.85
30,Sikkim,3.98,2.31
31,Tamil Nadu,4.67,4.1
32,Telangana,4.79,4.63
33,Tripura,2.2,2.11
34,Uttar Pradesh,2.43,10.03
35,Uttarakhand,1.57,1.18
36,West Bengal,3.1,5.71
