,Country/State/UT_Name,GSDP - CONSTANT PRICES (` in Crore)_2015-16 (gdp_constant),GSDP - CONSTANT PRICES (` in Crore)_2012-13 (gdp_constant)
0,All India,11357529.0,9215125.0
1,Andaman and N Islands,275633.0,4156.0
2,Andhra Pradesh,490134.0,380629.0
3,Arunachal Pradesh,13963.0,11299.0
4,Assam,179595.0,147342.0
5,Bihar,326535.0,256851.0
6,Chandigarh,26379.0,20265.0
7,Chhattisgarh,209012.0,165937.0
8,D & N Haveli,450917.0,632650.75
9,Daman & Diu,450917.0,632650.75
10,Goa,37520.0,35850.0
11,Gujarat,864314.0,682650.0
12,Haryana,399646.0,320570.0
13,Himachal Pradesh,341666.0,77384.0
14,Jammu & Kashmir,95965.0,80515.0
15,Jharkhand,209137.0,163250.0
16,Karnataka,815545.0,641212.0
17,Kerala,467243.0,387693.0
18,Lakshadweep,450917.0,632650.75
19,Madhya Pradesh,414607.0,351461.0
20,Maharashtra,450917.0,1357116.0
21,Manipur,57446.75,12985.0
22,Meghalaya,22507.0,20354.0
23,Mizoram,57446.75,7778.0
24,NCT of Delhi,460217.0,366538.0
25,Nagaland,57446.75,12442.0
26,Odisha,291227.0,238370.0
27,Puducherry,22007.0,17310.0
28,Punjab,341666.0,280823.0
29,Rajasthan,450917.0,454987.0
30,Sikkim,13722.0,11421.0
31,Tamil Nadu,979816.0,787907.0
32,Telangana,464389.0,369290.0
33,Tripura,57446.75,20873.0
34,Uttar Pradesh,914748.0,754928.0
35,Uttarakhand,153041.0,123891.0
36,West Bengal,275633.0,165656.75
